Codigo Asentamiento,Codigo,Nombre Asentamiento,Nombre Asentamiento Min,Codigo Provincia,Codigo Departamento,Codigo Municipio,Codigo Localidad,Codigo Asentamiento Humano,Provincia,Departamento,Departamento Min,Municipio,Municipio Min,Cordon,Cuenca,Tipo Asentamiento,Lat,Lng,Fuente,Observaciones,Seccion Electoral,Cp
020010001010001,020010001010001,CONSTITUCION,Constitucion,02,001,0001,010,001,CABA,COMUNA 1,Comuna 1,COMUNA 1,Comuna 1,0,,E,-34.625047864199900,-58.384387226400000,INDEC,,,
020010001010002,020010001010002,MONSERRAT,Monserrat,02,001,0001,010,002,CABA,COMUNA 1,Comuna 1,COMUNA 1,Comuna 1,0,,E,-34.612688082200000,-58.379652044799900,INDEC,,,
020010001010003,020010001010003,PUERTO MADERO,Puerto Madero,02,001,0001,010,003,CABA,COMUNA 1,Comuna 1,COMUNA 1,Comuna 1,0,,E,-34.609216193300000,-58.356380915199900,INDEC,,,
020010001010004,020010001010004,RETIRO,Retiro,02,001,0001,010,004,CABA,COMUNA 1,Comuna 1,COMUNA 1,Comuna 1,0,,E,-34.588424342899900,-58.375935913200000,INDEC,,,
020010001010005,020010001010005,SAN NICOLAS,San Nicolas,02,001,0001,010,005,CABA,COMUNA 1,Comuna 1,COMUNA 1,Comuna 1,0,,E,-34.603668319199900,-58.380514325599900,INDEC,,,
020010001010006,020010001010006,SAN TELMO,San Telmo,02,001,0001,010,006,CABA,COMUNA 1,Comuna 1,COMUNA 1,Comuna 1,0,,E,-34.621520011599900,-58.371545387600000,INDEC,,,
020020001010001,020020001010001,RECOLETA,Recoleta,02,002,0001,010,001,CABA,COMUNA 2,Comuna 2,COMUNA 2,Comuna 2,0,,E,-34.585876007800000,-58.394996180299900,INDEC,,,
020030001010001,020030001010001,BALVANERA,Balvanera,02,003,0001,010,001,CABA,COMUNA 3,Comuna 3,COMUNA 3,Comuna 3,0,,E,-34.609099773799900,-58.403062519599900,INDEC,,,
020030001010002,020030001010002,SAN CRISTOBAL,San Cristobal,02,003,0001,010,002,CABA,COMUNA 3,Comuna 3,COMUNA 3,Comuna 3,0,,E,-34.623864473499900,-58.401885798000000,INDEC,,,
020040001010001,020040001010001,BARRACAS,Barracas,02,004,0001,010,001,CABA,COMUNA 4,Comuna 4,COMUNA 4,Comuna 4,0,,E,-34.646413550799900,-58.384271032000000,INDEC,,,
020040001010002,020040001010002,BOCA,Boca,02,004,0001,010,002,CABA,COMUNA 4,Comuna 4,COMUNA 4,Comuna 4,0,,E,-34.631070072000000,-58.356830410999900,INDEC,,,
020040001010003,020040001010003,NUEVA POMPEYA,Nueva Pompeya,02,004,0001,010,003,CABA,COMUNA 4,Comuna 4,COMUNA 4,Comuna 4,0,,E,-34.650550196399900,-58.418855008999900,INDEC,,,
020040001010004,020040001010004,PARQUE PATRICIOS,Parque Patricios,02,004,0001,010,004,CABA,COMUNA 4,Comuna 4,COMUNA 4,Comuna 4,0,,E,-34.637549640700000,-58.401675620699900,INDEC,,,
020050001010001,020050001010001,ALMAGRO,Almagro,02,005,0001,010,001,CABA,COMUNA 5,Comuna 5,COMUNA 5,Comuna 5,0,,E,-34.609227689100000,-58.421745225400000,INDEC,,,
020050001010002,020050001010002,BOEDO,Boedo,02,005,0001,010,002,CABA,COMUNA 5,Comuna 5,COMUNA 5,Comuna 5,0,,E,-34.629960008099900,-58.418840373800000,INDEC,,,
020060001010001,020060001010001,CABALLITO,Caballito,02,006,0001,010,001,CABA,COMUNA 6,Comuna 6,COMUNA 6,Comuna 6,0,,E,-34.616825499699900,-58.443603110399900,INDEC,,,
020070001010001,020070001010001,FLORES,Flores,02,007,0001,010,001,CABA,COMUNA 7,Comuna 7,COMUNA 7,Comuna 7,0,,E,-34.636807079599900,-58.458269851499900,INDEC,,,
020070001010002,020070001010002,PARQUE CHACABUCO,Parque Chacabuco,02,007,0001,010,002,CABA,COMUNA 7,Comuna 7,COMUNA 7,Comuna 7,0,,E,-34.635939227500000,-58.437695601999900,INDEC,,,
020080001010001,020080001010001,VILLA LUGANO,Villa Lugano,02,008,0001,010,001,CABA,COMUNA 8,Comuna 8,COMUNA 8,Comuna 8,0,,E,-34.674993579300000,-58.476162984500000,INDEC,,,
020080001010002,020080001010002,VILLA RIACHUELO,Villa Riachuelo,02,008,0001,010,002,CABA,COMUNA 8,Comuna 8,COMUNA 8,Comuna 8,0,,E,-34.691895527000000,-58.463251939300000,INDEC,,,
020080001010003,020080001010003,VILLA SOLDATI,Villa Soldati,02,008,0001,010,003,CABA,COMUNA 8,Comuna 8,COMUNA 8,Comuna 8,0,,E,-34.665468844499900,-58.446522525299900,INDEC,,,
020090001010001,020090001010001,LINIERS,Liniers,02,009,0001,010,001,CABA,COMUNA 9,Comuna 9,COMUNA 9,Comuna 9,0,,E,-34.643796083500000,-58.519129895799900,INDEC,,,
020090001010002,020090001010002,MATADEROS,Mataderos,02,009,0001,010,002,CABA,COMUNA 9,Comuna 9,COMUNA 9,Comuna 9,0,,E,-34.658368288600000,-58.501731952100000,INDEC,,,
020090001010003,020090001010003,PARQUE AVELLANEDA,Parque Avellaneda,02,009,0001,010,003,CABA,COMUNA 9,Comuna 9,COMUNA 9,Comuna 9,0,,E,-34.648641286800000,-58.476456403500000,INDEC,,,
020100001010001,020100001010001,FLORESTA,Floresta,02,010,0001,010,001,CABA,COMUNA 10,Comuna 10,COMUNA 10,Comuna 10,0,,E,-34.627686290600000,-58.483587278400000,INDEC,,,
020100001010002,020100001010002,MONTE CASTRO,Monte Castro,02,010,0001,010,002,CABA,COMUNA 10,Comuna 10,COMUNA 10,Comuna 10,0,,E,-34.619297482699900,-58.506580339099900,INDEC,,,
020100001010003,020100001010003,VELEZ SARSFIELD,Velez Sarsfield,02,010,0001,010,003,CABA,COMUNA 10,Comuna 10,COMUNA 10,Comuna 10,0,,E,-34.631361022199900,-58.493276996900000,INDEC,,,
020100001010004,020100001010004,VERSALLES,Versalles,02,010,0001,010,004,CABA,COMUNA 10,Comuna 10,COMUNA 10,Comuna 10,0,,E,-34.630123461799900,-58.522401748299900,INDEC,,,
020100001010005,020100001010005,VILLA LURO,Villa Luro,02,010,0001,010,005,CABA,COMUNA 10,Comuna 10,COMUNA 10,Comuna 10,0,,E,-34.636412778400000,-58.502728805099900,INDEC,,,
020100001010006,020100001010006,VILLA REAL,Villa Real,02,010,0001,010,006,CABA,COMUNA 10,Comuna 10,COMUNA 10,Comuna 10,0,,E,-34.619483133700000,-58.525986072899900,INDEC,,,
020110001010001,020110001010001,VILLA DEL PARQUE,Villa Del Parque,02,011,0001,010,001,CABA,COMUNA 11,Comuna 11,COMUNA 11,Comuna 11,0,,E,-34.604246300400000,-58.490676432400000,INDEC,,,
020110001010002,020110001010002,VILLA DEVOTO,Villa Devoto,02,011,0001,010,002,CABA,COMUNA 11,Comuna 11,COMUNA 11,Comuna 11,0,,E,-34.602380313700000,-58.514243710099900,INDEC,,,
020110001010003,020110001010003,VILLA GENERAL MITRE,Villa General Mitre,02,011,0001,010,003,CABA,COMUNA 11,Comuna 11,COMUNA 11,Comuna 11,0,,E,-34.610028950800000,-58.468942554100000,INDEC,,,
